Landmass	Zone	Area	Population	Language	Religion	Bars	Stripes	Colors	Red	Green	Blue	Gold	White	Black	Orange	MainHue	Circles	Crosses	Saltires	Quarters	Sunstars	Crescent	Triangle	Icon	Animate	Text	TopLeft	BotRight
discrete	discrete	continuous	continuous	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete
																												
5	1	648.0	16.0	10	2	0	3	5	1	1	0	1	1	1	0	green	0	0	0	0	1	0	0	1	0	0	black	green
3	1	29.0	3.0	6	6	0	0	3	1	0	0	1	0	1	0	red	0	0	0	0	1	0	0	0	1	0	red	red
4	1	2388.0	20.0	8	2	2	0	3	1	1	0	0	1	0	0	green	0	0	0	0	1	1	0	0	0	0	green	white
6	3	0.0	0.0	1	1	0	0	5	1	0	1	1	1	0	1	blue	0	0	0	0	0	0	1	1	1	0	blue	red
3	1	0.0	0.0	6	0	3	0	3	1	0	1	1	0	0	0	gold	0	0	0	0	0	0	0	0	0	0	blue	red
4	2	1247.0	7.0	10	5	0	2	3	1	0	0	1	0	1	0	red	0	0	0	0	1	0	0	1	0	0	red	black
1	4	0.0	0.0	1	1	0	1	3	0	0	1	0	1	0	1	white	0	0	0	0	0	0	0	0	1	0	white	blue
1	4	0.0	0.0	1	1	0	1	5	1	0	1	1	1	1	0	red	0	0	0	0	1	0	1	0	0	0	black	red
2	3	2777.0	28.0	2	0	0	3	2	0	0	1	0	1	0	0	blue	0	0	0	0	0	0	0	0	0	0	blue	blue
2	3	2777.0	28.0	2	0	0	3	3	0	0	1	1	1	0	0	blue	0	0	0	0	1	0	0	0	0	0	blue	blue
6	2	7690.0	15.0	1	1	0	0	3	1	0	1	0	1	0	0	blue	0	1	1	1	6	0	0	0	0	0	white	blue
3	1	84.0	8.0	4	0	0	3	2	1	0	0	0	1	0	0	red	0	0	0	0	0	0	0	0	0	0	red	red
1	4	19.0	0.0	1	1	0	3	3	0	0	1	1	0	1	0	blue	0	0	0	0	0	0	1	0	0	0	blue	blue
5	1	1.0	0.0	8	2	0	0	2	1	0	0	0	1	0	0	red	0	0	0	0	0	0	0	0	0	0	white	red
5	1	143.0	90.0	6	2	0	0	2	1	1	0	0	0	0	0	green	1	0	0	0	0	0	0	0	0	0	green	green
1	4	0.0	0.0	1	1	3	0	3	0	0	1	1	0	1	0	blue	0	0	0	0	0	0	0	1	0	0	blue	blue
3	1	31.0	10.0	6	0	3	0	3	1	0	0	1	0	1	0	gold	0	0	0	0	0	0	0	0	0	0	black	red
1	4	23.0	0.0	1	1	0	2	8	1	1	1	1	1	1	1	blue	1	0	0	0	0	0	0	1	1	1	red	red
4	1	113.0	3.0	3	5	0	0	2	1	1	0	0	0	0	0	green	0	0	0	0	1	0	0	0	0	0	green	green
1	4	0.0	0.0	1	1	0	0	6	1	1	1	1	1	1	0	red	1	1	1	1	0	0	0	1	1	0	white	red
5	1	47.0	1.0	10	3	0	0	4	1	0	0	0	1	1	1	orange	4	0	0	0	0	0	0	0	1	0	orange	red
2	3	1099.0	6.0	2	0	0	3	3	1	1	0	1	0	0	0	red	0	0	0	0	0	0	0	0	0	0	red	green
4	2	600.0	1.0	10	5	0	5	3	0	0	1	0	1	1	0	blue	0	0	0	0	0	0	0	0	0	0	blue	blue
2	3	8512.0	119.0	6	0	0	0	4	0	1	1	1	1	0	0	green	1	0	0	0	22	0	0	0	0	1	green	green
1	4	0.0	0.0	1	1	0	0	6	1	1	1	1	1	0	1	blue	0	1	1	1	0	0	0	1	1	1	white	blue
5	1	6.0	0.0	10	2	0	0	4	1	0	0	1	1	1	0	gold	0	0	0	0	0	0	1	1	1	1	white	gold
3	1	111.0	9.0	5	6	0	3	5	1	1	1	1	1	0	0	red	0	0	0	0	1	0	0	1	1	0	white	red
4	4	274.0	7.0	3	5	0	2	3	1	1	0	1	0	0	0	red	0	0	0	0	1	0	0	0	0	0	red	green
5	1	678.0	35.0	10	3	0	0	3	1	0	1	0	1	0	0	red	0	0	0	1	14	0	0	1	1	0	blue	red
4	2	28.0	4.0	10	5	0	0	3	1	1	0	0	1	0	0	red	1	0	1	0	3	0	0	0	0	0	white	white
4	1	474.0	8.0	3	1	3	0	3	1	1	0	1	0	0	0	gold	0	0	0	0	1	0	0	0	0	0	green	gold
1	4	9976.0	24.0	1	1	2	0	2	1	0	0	0	1	0	0	red	0	0	0	0	0	0	0	0	1	0	red	red
4	4	4.0	0.0	6	0	1	2	5	1	1	0	1	0	1	1	gold	0	0	0	0	1	0	0	0	1	0	red	green
1	4	0.0	0.0	1	1	0	0	6	1	1	1	1	1	0	1	blue	1	1	1	1	4	0	0	1	1	1	white	blue
4	1	623.0	2.0	10	5	1	0	5	1	1	1	1	1	0	0	gold	0	0	0	0	1	0	0	0	0	0	blue	gold
4	1	1284.0	4.0	3	5	3	0	3	1	0	1	1	0	0	0	gold	0	0	0	0	0	0	0	0	0	0	blue	red
2	3	757.0	11.0	2	0	0	2	3	1	0	1	0	1	0	0	red	0	0	0	1	1	0	0	0	0	0	blue	red
5	1	9561.0	1008.0	7	6	0	0	2	1	0	0	1	0	0	0	red	0	0	0	0	5	0	0	0	0	0	red	red
2	4	1139.0	28.0	2	0	0	3	3	1	0	1	1	0	0	0	gold	0	0	0	0	0	0	0	0	0	0	gold	red
4	2	2.0	0.0	3	2	0	0	2	0	1	0	0	1	0	0	green	0	0	0	0	4	1	0	0	0	0	green	green
4	2	342.0	2.0	10	5	0	0	3	1	1	0	1	0	0	0	red	0	0	0	0	1	0	0	1	1	0	red	red
