status	sex	survived	age
discrete	discrete	discrete	discrete
		class	meta
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	yes	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	male	no	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	yes	adult
first	female	no	adult
first	female	no	adult
first	female	no	adult
first	female	no	adult
first	male	yes	child
first	male	yes	child
first	male	yes	child
first	male	yes	child
first	male	yes	child
first	female	yes	child
second	male	yes	adult
second	male	yes	adult
second	male	yes	adult
second	male	yes	adult
second	male	yes	adult
second	male	yes	adult
second	male	yes	adult
second	male	yes	adult
second	male	yes	adult
second	male	yes	adult
second	male	yes	adult
second	male	yes	adult
second	male	yes	adult
second	male	yes	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
